iter	Passed	Remaining
745	1460	497
746	1461	495
747	1463	493
748	1465	490
749	1466	488
750	1467	486
751	1470	484
752	1471	482
753	1473	480
754	1474	478
755	1475	476
756	1476	474
757	1478	471
758	1479	469
759	1480	467
760	1482	465
761	1484	463
762	1486	461
763	1488	459
764	1489	457
765	1490	455
766	1493	453
767	1494	451
768	1495	449
769	1497	447
770	1498	445
771	1500	443
772	1502	441
773	1503	439
774	1504	436
775	1505	434
776	1507	432
777	1508	430
778	1510	428
779	1511	426
780	1512	424
781	1515	422
782	1517	420
783	1518	418
784	1519	416
785	1521	414
786	1522	411
787	1523	409
788	1524	407
789	1526	405
790	1531	404
791	1532	402
792	1534	400
793	1535	398
794	1536	396
795	1538	394
796	1539	392
797	1540	389
798	1542	387
799	1543	385
800	1546	384
801	1547	382
802	1549	380
803	1551	378
804	1552	376
805	1553	374
806	1555	372
807	1557	370
808	1558	367
809	1560	366
810	1562	364
811	1563	361
812	1564	359
813	1566	357
814	1567	355
815	1568	353
816	1569	351
817	1571	349
818	1572	347
819	1574	345
820	1576	343
821	1577	341
822	1579	339
823	1580	337
824	1583	335
825	1583	333
826	1585	331
827	1586	329
828	1587	327
829	1591	325
830	1592	323
831	1594	321
832	1595	319
833	1596	317
834	1597	315
835	1599	313
836	1600	311
837	1601	309
838	1603	307
839	1606	305
840	1608	304
841	1608	301
842	1610	299
843	1611	297
844	1612	295
845	1613	293
846	1615	291
847	1616	289
848	1617	287
849	1620	285
850	1622	284
851	1623	282
852	1624	280
853	1626	278
854	1627	276
855	1628	274
856	1630	272
857	1631	270
858	1632	268
859	1635	266
860	1637	264
861	1638	262
862	1639	260
863	1640	258
864	1642	256
865	1643	254
866	1644	252
867	1646	250
868	1647	248
869	1648	246
870	1651	244
871	1654	242
872	1656	240
873	1657	238
874	1658	236
875	1659	234
876	1661	233
877	1663	231
878	1667	229
879	1668	227
880	1670	225
881	1671	223
882	1673	221
883	1675	219
884	1676	217
885	1678	215
886	1679	213
887	1683	212
888	1684	210
889	1685	208
890	1686	206
891	1688	204
892	1689	202
893	1690	200
894	1692	198
895	1693	196
896	1694	194
897	1697	192
898	1699	190
899	1700	188
900	1701	186
901	1703	185
902	1704	183
903	1705	181
904	1706	179
905	1708	177
906	1709	175
907	1713	173
908	1714	171
909	1716	169
910	1717	167
911	1718	165
912	1720	163
913	1721	162
914	1723	160
915	1724	158
916	1725	156
917	1728	154
918	1729	152
919	1730	150
920	1731	148
921	1732	146
922	1734	144
923	1736	142
924	1737	140
925	1738	138
926	1739	137
927	1742	135
928	1743	133
929	1745	131
930	1746	129
931	1747	127
932	1749	125
933	1750	123
934	1751	121
935	1753	119
936	1755	118
937	1758	116
938	1759	114
939	1761	112
940	1762	110
941	1764	108
942	1765	106
943	1767	104
944	1768	102
945	1771	101
946	1772	99
947	1774	97
948	1775	95
949	1776	93
950	1777	91
951	1779	89
952	1780	87
953	1782	85
954	1783	84
955	1784	82
956	1787	80
957	1789	78
958	1790	76
959	1791	74
960	1793	72
961	1794	70
962	1795	68
963	1796	67
964	1798	65
965	1799	63
966	1803	61
967	1804	59
968	1806	57
969	1807	55
970	1808	54
971	1809	52
972	1811	50
973	1812	48
974	1813	46
975	1815	44
976	1820	42
977	1822	40
978	1823	39
979	1825	37
980	1826	35
981	1828	33
982	1829	31
983	1830	29
984	1833	27
985	1835	26
986	1836	24
987	1839	22
988	1841	20
989	1842	18
990	1844	16
991	1847	14
992	1850	13
993	1851	11
994	1853	9
995	1854	7
996	1856	5
997	1863	3
998	1865	1
999	1866	0
